id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2265,Zen-East in the Heart of Austin (monthly rental),2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,30,24,2019-03-16,0.18,3,0
5245,"Eco friendly, Colorful, Clean, Cozy monthly share",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,30,9,2018-03-14,0.07,3,0
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,518,2019-12-25,3.92,1,314
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,257,2019-11-03,2.16,1,0
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,3,106,2019-11-19,0.86,1,12
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,223,2019-12-08,2.19,2,102
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,46,2019-05-28,0.38,1,164
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,28,2019-11-03,0.39,1,364
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,91,2019-12-27,1.08,11,136
21145,"Private Pool, Non Smoking, Pet Friendly, Central",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,30,35,2019-11-04,0.74,1,321
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,365
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,52,31,37,2019-08-15,0.31,1,273
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,158,2020-01-11,1.32,1,207
25028,Lovely Central Austin Bungalow & Studio,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,140,30,33,2019-09-30,0.28,1,305
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.08,1,10
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,30,37,2020-01-03,0.66,1,276
39152,SXSW 2020 -WOW SOON-South Austin Cosmic Groove :~>,167892,Veronica,,78704,30.25671,-97.75412,Entire home/apt,265,3,183,2019-11-03,1.61,3,10
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29996,-97.77832,Entire home/apt,59,2,148,2019-12-25,2.08,2,0
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141,-97.76323,Entire home/apt,350,2,30,2019-09-08,0.28,1,364
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.30038,-97.77886,Entire home/apt,105,2,375,2019-12-08,3.33,2,0
47572,Harmonious Home in  N. Austin for Longer Stays,215917,Belinda,,78758,30.37641,-97.70926,Private room,36,30,2,2019-09-30,0.20,1,356
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093,-97.75318,Entire home/apt,40,3,257,2019-12-29,2.28,2,310
50318,Scooby Doo House,12409,Flip,,78705,30.28625,-97.75022,Entire home/apt,130,30,30,2019-11-04,0.27,2,317
51100,Walking distance to ACL,235136,Charla,,78703,30.28188,-97.76413,Entire home/apt,500,3,2,2019-05-12,0.02,1,352
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.2444,-97.75121,Entire home/apt,150,2,166,2020-01-06,1.54,2,69
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25596,-97.76866,Entire home/apt,99,1,635,2020-01-04,5.78,2,340
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31171,-97.72455,Entire home/apt,89,2,468,2019-12-15,4.28,1,0
69303,Colorful and Quirky Zilker Park Townhouse,272156,Lois,,78704,30.2607,-97.77194,Entire home/apt,145,2,104,2020-01-04,0.98,2,330
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.23152,-97.76434,Entire home/apt,110,2,433,2019-12-15,4.01,1,313
70258,South 1st Garage Apartment - Ideally Central,355348,Jason,,78704,30.23616,-97.76446,Entire home/apt,150,2,29,2019-11-10,1.03,1,89
70659,Private Cottage-Near UT/Hyde Park,359112,Sara,,78722,30.2912,-97.71956,Entire home/apt,110,2,221,2019-11-17,2.04,2,359
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24501,-97.74986,Entire home/apt,150,2,137,2019-11-10,1.27,2,80
72318,"Private, Super Cool, and very Close In",374529,Alyson & Max,,78704,30.2532,-97.77891,Private room,125,3,38,2018-10-15,0.35,3,89
